id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,I_28 28
1000,XXX,R_14 14
10000,XXX,AH_10 10
100000,XXX,CH_8 8
1000000,XXX,DN_6 6
10000000,XXX,BD_9 9
100000000,XXX,ES_2 2
1000000000,XXX,FP_1 1
10001,XXX,AI_4 4
100010,XXX,CJ_2 2
1000100,XXX,BF_3 3
10001000,XXX,DQ_1 1
100011,XXX,BG_1 1
1001,XXX,AJ_9 9
10010,XXX,S_14 14
100100,XXX,BH_6 6
1001000,XXX,CM_2 2
10010000,XXX,DT_1 1
100101,XXX,BI_3 3
1001010,XXX,CN_2 2
10010100,XXX,DV_1 1
101,XXX,P_25 25
1010,XXX,H_44 44
10100,XXX,D_72 72
101000,XXX,AD_19 19
1010000,XXX,AV_12 12
10100000,XXX,CZ_9 9
101000000,XXX,BV_11 11
1010000000,XXX,EF_7 7
10100000000,XXX,FB_5 5
101000000000,XXX,FR_4 4
1010000000000,XXX,GI_2 2
10100000000000,XXX,GO_1 1
10100000001,XXX,FC_2 2
101000000010,XXX,FT_1 1
101000000011,XXX,FU_1 1
1010000001,XXX,EG_2 2
10100000010,XXX,FE_1 1
10100001,XXX,DA_2 2
101000010,XXX,EI_1 1
10100002,XXX,BW_1 1
1010001,XXX,AW_7 7
10100010,XXX,BX_6 6
101000100,XXX,EJ_3 3
1010001000,XXX,DB_5 5
10100010000,XXX,FF_2 2
101000100000,XXX,FW_1 1
10100011,XXX,BY_1 1
101001,XXX,AF_17 17
1010010,XXX,Q_19 19
10100100,XXX,AZ_14 14
101001000,XXX,CD_11 11
1010010000,XXX,DH_7 7
10100100000,XXX,EL_6 6
101001000000,XXX,FJ_4 4
1010010000000,XXX,FX_3 3
10100100000000,XXX,GJ_2 2
101001000000000,XXX,GQ_1 1
101001000001,XXX,FK_2 2
1010010000010,XXX,FZ_1 1
1010010001,XXX,DI_4 4
10100100010,XXX,EO_1 1
10100101,XXX,DL_1 1
101001010,XXX,BA_3 3
1010010100,XXX,CF_2 2
101002,XXX,AE_6 6
1010020,XXX,AX_4 4
10100200,XXX,BZ_2 2
101002000,XXX,DD_1 1
101002001,XXX,DE_1 1
102,XXX,J_15 15
1020,XXX,E_19 19
10200,XXX,T_9 9
102000,XXX,AL_7 7
1020000,XXX,BL_4 4
10200000,XXX,DZ_2 2
102000000,XXX,CT_3 3
1020000000,XXX,FA_1 1
1020001,XXX,BM_3 3
10200010,XXX,CV_2 2
102000100,XXX,EB_1 1
102000101,XXX,EC_1 1
10200011,XXX,CW_1 1
102001,XXX,BO_1 1
1020010,XXX,AM_2 2
10201,XXX,U_6 6
102010,XXX,AN_4 4
1020100,XXX,BQ_1 1
102011,XXX,AO_2 2
1020110,XXX,BR_1 1
103,XXX,V_3 3
1030,XXX,K_4 4
10300,XXX,AP_2 2
103000,XXX,BT_1 1
10301,XXX,AQ_1 1
11,XXX,C_9 9
110,XXX,F_5 5
1100,XXX,L_3 3
11000,XXX,X_2 2
110000,XXX,AR_1 1
1101,XXX,M_2 2
11010,XXX,AA_1 1
