id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,D_72 72
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,CZ_9 9
1000000000,XXX,EF_7 7
10000000000,XXX,FC_2 2
100001,XXX,DI_4 4
1000010,XXX,GO_1 1
10000100,XXX,EG_2 2
100001000,XXX,AM_2 2
1000010000,XXX,CW_1 1
10001,XXX,AF_17 17
100010,XXX,CD_11 11
1000100,XXX,AZ_14 14
10001000,XXX,DH_7 7
10001001,XXX,AA_1 1
1000101,XXX,BW_1 1
10001010,XXX,FB_5 5
10001011,XXX,FT_1 1
100011,XXX,K_4 4
1000110,XXX,FX_3 3
10001100,XXX,BQ_1 1
10001101,XXX,FZ_1 1
1000111,XXX,DL_1 1
10001110,XXX,M_2 2
100011100,XXX,ES_2 2
10001111,XXX,DD_1 1
10001112,XXX,FU_1 1
10001113,XXX,FW_1 1
10002,XXX,BG_1 1
1001,XXX,I_28 28
10010,XXX,Q_19 19
10011,XXX,R_14 14
10012,XXX,CN_2 2
100120,XXX,AJ_9 9
1001200,XXX,AH_10 10
10012000,XXX,BX_6 6
101,XXX,E_19 19
1010,XXX,J_15 15
10100,XXX,T_9 9
101000,XXX,BM_3 3
1010000,XXX,AL_7 7
10100000,XXX,BT_1 1
101000000,XXX,AX_4 4
1010000000,XXX,BR_1 1
10100000000,XXX,FP_1 1
101000001,XXX,EJ_3 3
101001,XXX,GJ_2 2
1010010,XXX,L_3 3
10100100,XXX,S_14 14
10100101,XXX,FR_4 4
101001010,XXX,BI_3 3
10100102,XXX,EO_1 1
101001020,XXX,AW_7 7
101001021,XXX,BH_6 6
1010011,XXX,CV_2 2
10100110,XXX,AI_4 4
101001100,XXX,AE_6 6
101001101,XXX,CJ_2 2
10100111,XXX,DQ_1 1
101001110,XXX,BA_3 3
101001111,XXX,FF_2 2
1010011110,XXX,GI_2 2
101001112,XXX,EB_1 1
1010011120,XXX,CM_2 2
1010011121,XXX,AQ_1 1
10100111210,XXX,DN_6 6
101001112100,XXX,FE_1 1
1010011121000,XXX,BL_4 4
1010012,XXX,DA_2 2
10100120,XXX,EL_6 6
10100121,XXX,AP_2 2
10100122,XXX,BZ_2 2
101001220,XXX,DT_1 1
101002,XXX,BO_1 1
1010020,XXX,DZ_2 2
10100200,XXX,DE_1 1
101002000,XXX,BF_3 3
101003,XXX,BY_1 1
1010030,XXX,EI_1 1
10100300,XXX,DB_5 5
10101,XXX,U_6 6
101010,XXX,AN_4 4
101011,XXX,AO_2 2
1010110,XXX,CF_2 2
10102,XXX,FK_2 2
101020,XXX,CH_8 8
1010200,XXX,F_5 5
101021,XXX,X_2 2
1010210,XXX,GQ_1 1
102,XXX,FJ_4 4
103,XXX,CT_3 3
104,XXX,V_3 3
1040,XXX,EC_1 1
10400,XXX,FA_1 1
11,XXX,C_9 9
110,XXX,AR_1 1
111,XXX,DV_1 1
1110,XXX,BD_9 9
