id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,H_44 44
1000,XXX,P_25 25
10000,XXX,D_72 72
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,CZ_9 9
1000000000,XXX,EF_7 7
10000000000,XXX,FB_5 5
100000000000,XXX,FR_4 4
1000000000000,XXX,GO_1 1
10000000000000,XXX,GI_2 2
10000000001,XXX,FC_2 2
1000000001,XXX,FE_1 1
10000000010,XXX,EG_2 2
100000000100,XXX,BI_3 3
100000000101,XXX,FT_1 1
100000001,XXX,EI_1 1
1000000010,XXX,DA_2 2
1000001,XXX,AW_7 7
10000010,XXX,BY_1 1
10000011,XXX,FW_1 1
100000110,XXX,BX_6 6
1000001100,XXX,EJ_3 3
10000011000,XXX,FF_2 2
100000110000,XXX,DB_5 5
1000001100000,XXX,DV_1 1
100001,XXX,BZ_2 2
1000010,XXX,AE_6 6
10000100,XXX,AX_4 4
100001000,XXX,DD_1 1
100001001,XXX,DE_1 1
1001,XXX,AF_17 17
10010,XXX,Q_19 19
100100,XXX,CD_11 11
1001000,XXX,AZ_14 14
10010000,XXX,DH_7 7
100100000,XXX,EL_6 6
1001000000,XXX,FK_2 2
10010000000,XXX,FZ_1 1
1001000001,XXX,GJ_2 2
10010000010,XXX,FJ_4 4
100100000100,XXX,GQ_1 1
1001000001000,XXX,FX_3 3
10010001,XXX,DI_4 4
100100010,XXX,EO_1 1
100101,XXX,DL_1 1
1001010,XXX,CF_2 2
10010100,XXX,BA_3 3
10011,XXX,BG_1 1
101,XXX,I_28 28
1010,XXX,R_14 14
10100,XXX,DN_6 6
101000,XXX,BD_9 9
1010000,XXX,ES_2 2
10100000,XXX,AH_10 10
101000000,XXX,FP_1 1
1010000000,XXX,CH_8 8
1010000001,XXX,DT_1 1
10101,XXX,AI_4 4
101010,XXX,CJ_2 2
1010100,XXX,DQ_1 1
10101000,XXX,BF_3 3
1011,XXX,S_14 14
10110,XXX,AJ_9 9
101100,XXX,CM_2 2
1011000,XXX,BH_6 6
102,XXX,J_15 15
1020,XXX,E_19 19
10200,XXX,T_9 9
102000,XXX,AL_7 7
1020000,XXX,BM_3 3
10200000,XXX,CV_2 2
102000000,XXX,CN_2 2
1020000000,XXX,BW_1 1
102000001,XXX,EB_1 1
102000002,XXX,EC_1 1
10200001,XXX,CW_1 1
1020001,XXX,DZ_2 2
10200010,XXX,FA_1 1
102000100,XXX,BL_4 4
1020001000,XXX,CT_3 3
102001,XXX,BO_1 1
1020010,XXX,AM_2 2
10201,XXX,U_6 6
102010,XXX,AO_2 2
1020100,XXX,BR_1 1
102011,XXX,BQ_1 1
1020110,XXX,AN_4 4
10202,XXX,FU_1 1
103,XXX,V_3 3
1030,XXX,K_4 4
10300,XXX,AP_2 2
103000,XXX,BT_1 1
1031,XXX,AQ_1 1
11,XXX,C_9 9
110,XXX,F_5 5
1100,XXX,X_2 2
11000,XXX,AR_1 1
110000,XXX,L_3 3
1101,XXX,AA_1 1
11010,XXX,M_2 2
