id,xxx,gene
1,XXX,A_100
10,XXX,B_91
100,XXX,D_72
1000,XXX,H_44
10000,XXX,P_25
100000,XXX,AE_6
1000000,XXX,AD_19
10000000,XXX,BV_11
100000000,XXX,DA_2
1000000000,XXX,EH_1
10000000000,XXX,AV_12
10000001,XXX,FW_1
100000010,XXX,BX_6
1000000100,XXX,FF_2
10000001000,XXX,DB_5
100000010000,XXX,EJ_3
1000000100000,XXX,AW_7
1000001,XXX,AY_2
10000010,XXX,CB_1
10000011,XXX,CC_1
1000002,XXX,DE_1
10000020,XXX,BZ_2
100000200,XXX,AX_4
10001,XXX,Q_19
100010,XXX,AZ_14
1000100,XXX,AF_17
10001000,XXX,CD_11
100010000,XXX,DH_7
1000100000,XXX,EL_6
10001000000,XXX,FK_2
100010000000,XXX,FZ_1
10001000001,XXX,GP_1
100010000010,XXX,FJ_4
1000100000100,XXX,FX_3
10001000001000,XXX,GJ_2
1000100001,XXX,EM_1
100010001,XXX,DI_4
1000100010,XXX,EO_1
10001001,XXX,DM_1
100010010,XXX,CF_2
1000100100,XXX,BA_3
100011,XXX,AG_2
1000110,XXX,BB_1
1001,XXX,I_28
10010,XXX,R_14
100100,XXX,AH_10
1001000,XXX,BD_9
10010000,XXX,CH_8
100100000,XXX,DO_2
1001000000,XXX,ET_1
10010000000,XXX,EU_1
100100001,XXX,ES_2
1001000010,XXX,DN_6
10010000100,XXX,FQ_1
100101,XXX,BF_3
1001010,XXX,AI_4
10010100,XXX,CK_1
10010101,XXX,DP_1
100101010,XXX,CJ_2
10011,XXX,S_14
100110,XXX,BH_6
1001100,XXX,AJ_9
10011000,XXX,CL_4
100110000,XXX,DS_2
1001100000,XXX,EX_1
100110001,XXX,EW_1
1001100010,XXX,DR_2
10011001,XXX,CM_2
100110010,XXX,DU_1
100111,XXX,DX_1
1001110,XXX,CR_1
10011100,XXX,AK_5
100111000,XXX,BJ_3
1001110000,XXX,CP_2
100111001,XXX,BK_2
101,XXX,E_19
1010,XXX,J_15
10100,XXX,AL_7
101000,XXX,BL_4
1010000,XXX,T_9
10100000,XXX,CT_3
101000000,XXX,DZ_2
1010000000,XXX,EZ_1
1010000001,XXX,FA_1
101000001,XXX,EA_1
10100001,XXX,CU_1
101000010,XXX,CW_1
1010000100,XXX,BM_3
10101,XXX,U_6
101010,XXX,AN_4
1010100,XXX,BP_3
10101000,XXX,CX_2
101010000,XXX,ED_1
10101001,XXX,CY_1
1010101,XXX,BQ_1
101011,XXX,BR_1
1010110,XXX,AO_2
11,XXX,C_9
110,XXX,F_5
1100,XXX,AS_1
11000,XXX,M_2
110000,XXX,AA_1
110001,XXX,Z_1
11001,XXX,X_2
110010,XXX,L_3
1100100,XXX,AR_1
111,XXX,O_1
1110,XXX,G_4
